hhNum,village,sex,age,educ,hhSize,landOwned,landCultivated,fo,income
434,W,male,19.461897993926,7,6,16.8,10.0,1,1894.0
435,X,male,42.2067663529888,6,4,7.9,5.3,1,548.0
436,X,male,46.6570178437978,2,6,11.8,7.5,0,1021.0
437,X,male,49.2198686064221,7,5,7.5,5.9,1,1458.0
438,X,male,65.9717102353461,3,4,6.9,4.2,0,281.0
439,X,male,79.7099718065001,2,2,11.4,4.3,0,92.0
440,X,male,60.3893062388524,1,6,3.8,4.3,0,261.0
441,X,male,78.5439973701723,0,3,9.9,4.4,0,134.0
442,X,male,68.9837245061062,4,7,9.5,5.5,0,618.0
443,X,male,28.0986521337181,8,3,2.4,3.0,1,729.0
444,X,male,29.1148219485767,3,6,9.4,4.5,0,385.0
445,X,female,31.6266043344513,4,7,3.0,2.5,0,342.0
446,X,male,47.5902192797512,3,4,10.8,6.8,1,581.0
447,X,male,24.756473921705,6,3,6.4,5.4,0,719.0
448,X,male,33.7694800691679,2,6,5.7,4.5,0,353.0
449,Y,female,56.7618128485046,4,4,7.9,4.3,1,166.0
450,Y,male,45.4111657729372,3,4,15.2,7.4,0,455.0
451,Y,male,56.3207151242532,3,5,5.9,3.7,0,340.0
452,Y,male,73.7551759942435,2,5,10.3,8.0,1,1125.0
453,Y,male,61.379512086045,2,4,9.3,6.0,0,453.0
454,Y,male,44.8389176125638,12,6,4.6,4.3,1,1325.0
455,Y,male,65.8322704127058,4,5,3.6,3.9,1,373.0
456,Y,male,26.1823888248764,7,3,3.2,3.4,1,233.0
457,Y,male,37.0591004597954,6,10,10.2,5.8,1,1939.0
458,Y,male,58.1952175563201,1,4,7.8,4.1,0,200.0
459,Y,male,29.5721976864152,7,3,19.1,7.1,0,410.0
460,Y,male,75.3263957598247,3,4,10.3,3.8,0,220.0
461,Y,male,74.95078441035,5,4,11.8,3.2,0,230.0
462,Y,male,50.5405296268873,1,4,14.9,4.8,0,234.0
463,Y,female,70.0636800802313,3,4,6.3,5.5,1,657.0
464,Y,male,38.4964053132571,4,2,10.0,5.3,0,262.0
465,Y,female,23.3314553806558,6,8,11.9,9.2,1,3235.0
466,Y,male,48.0751862395555,5,5,15.2,5.9,0,508.0
467,Z,female,49.4985246183351,0,4,11.3,4.3,0,88.0
468,Z,male,41.5016684317961,0,7,9.6,5.8,0,643.0
469,Z,male,31.2192610343918,12,5,5.3,4.6,1,626.0
470,Z,male,52.4618499726057,4,5,11.1,7.4,0,1238.0
471,Z,male,20.266608022619,4,6,10.0,7.3,1,1221.0
472,Z,male,70.0632786066271,3,6,10.6,6.8,0,998.0
473,Z,male,55.9378952290863,8,3,9.6,6.9,1,826.0
474,Z,male,61.3365341876633,1,4,7.2,3.1,0,142.0
475,Z,male,49.9165198309347,4,8,7.6,5.8,1,2013.0
476,Z,male,37.428771502804,4,3,10.9,4.3,0,149.0
477,Z,male,49.4402936426923,7,6,8.6,3.2,0,349.0
478,Z,male,71.3207305539399,6,5,5.4,4.6,0,679.0
479,Z,female,57.6473280377686,3,3,6.9,6.3,0,531.0
480,Z,male,45.0540930656716,2,4,4.3,3.7,0,256.0
